POP    GCclasses       nb_CDS  medianGC3       pNseq   pSseq   NbSynSites      totallengthCDS  pNpS
Tachie_soc	10	3330	0.667969	431.8060	1618.1100	1420160.0	4000590.0	.14159
Tachie_soc	11	3504	0.68242	430.2870	1520.3600	1423250.0	4001415.0	.15094
Tachie_soc	12	3651	0.70122	431.8260	1570.3400	1426860.0	4001736.0	.14545
Tachie_soc	13	3249	0.726744	353.0670	1698.2700	1430270.0	4001031.0	.11016
Tachie_soc	14	2999	0.783075	262.435	1420.340	929356.000	2596470.000	.09868
Takla_kok	1	5899	0.425982	874.4550	1386.3900	1385530.0	4000431.0	.33000
Takla_kok	2	5947	0.506329	479.8520	887.3830	1400910.0	4000083.0	.28571
Takla_kok	3	5525	0.54955	469.6690	1110.7500	1408860.0	4000800.0	.23076
Takla_kok	4	5260	0.578035	429.6980	1115.1800	1411310.0	4000902.0	.20253
Takla_kok	5	5032	0.601266	397.7330	1188.5700	1415130.0	4000521.0	.18072
Takla_kok	6	4776	0.62207	388.7550	1306.1600	1417510.0	4001553.0	.16304
Takla_kok	7	4100	0.638889	321.4830	1066.9600	1420060.0	4000365.0	.16000
Takla_kok	8	4297	0.655602	287.7020	1205.3400	1420510.0	4000665.0	.13095
Takla_kok	9	4084	0.67433	365.0740	1355.3000	1422860.0	4000173.0	.14736
Takla_kok	10	4421	0.695279	331.9120	1367.1700	1426670.0	4000347.0	.12631
Takla_kok	11	4092	0.726136	346.9150	1537.2600	1429860.0	4000098.0	.12149
Takla_kok	12	2712	0.749361	156.781	860.529	651434.000	1818012.000	.09848
Takla_soc	1	5691	0.427835	866.3070	1489.9400	1385270.0	4000161.0	.30841
Takla_soc	2	5747	0.506944	491.8450	911.4860	1400750.0	4000566.0	.27692
Takla_soc	3	5410	0.548387	480.0380	1177.7900	1409050.0	4002498.0	.21686
Takla_soc	4	5086	0.576471	424.0310	1137.8900	1410100.0	4000086.0	.20000
Takla_soc	5	4938	0.6	400.9900	1210.6000	1414870.0	4000122.0	.17647
Takla_soc	6	4507	0.619298	448.4460	1448.3800	1416000.0	4000032.0	.16666
Takla_soc	7	4071	0.635417	392.4710	1218.8200	1418450.0	4000698.0	.17647
Takla_soc	8	3912	0.651709	343.9770	1406.2200	1420910.0	4002252.0	.13265
Takla_soc	9	3982	0.667564	369.8500	1235.5400	1422280.0	4000752.0	.16279
Takla_soc	10	4081	0.68617	342.5550	1434.2300	1424920.0	4000086.0	.13000
Takla_soc	11	3987	0.711111	379.4070	1439.0000	1426790.0	4001103.0	.14000
Takla_soc	12	4536	0.746914	323.6600	1872.4100	1431950.0	4000152.0	.09230
Takla_soc	13	197	0.830986	5.005	21.279	24748.200	68469.000	.12941
kokanne	1	6040	0.469194	901.2990	1438.1400	1392120.0	4000512.0	.33009
kokanne	2	5288	0.557252	623.8790	1507.5100	1408230.0	4000317.0	.22429
kokanne	3	5101	0.601896	595.2650	1687.2500	1415000.0	4000581.0	.19327
kokanne	4	4320	0.636771	687.3940	2033.9400	1417860.0	4000626.0	.18181
kokanne	5	3992	0.665025	411.0990	1566.9600	1420880.0	4000074.0	.13636
kokanne	6	4098	0.698795	442.5730	1656.7700	1425380.0	4002099.0	.14655
kokanne	7	3452	0.760383	383.638	1822.230	1079220.000	3012921.000	.11309
sockeye	1	6053	0.433735	1035.9500	1673.4200	1386140.0	4000098.0	.32500
sockeye	2	6001	0.511111	654.2990	1174.5000	1401730.0	4000119.0	.30120
sockeye	3	5510	0.554198	576.5540	1369.1600	1407640.0	4001103.0	.22680
sockeye	4	5184	0.582456	598.1770	1594.1500	1413090.0	4000797.0	.20535
sockeye	5	5055	0.606061	529.3390	1500.1700	1416040.0	4000311.0	.19047
sockeye	6	4544	0.626429	578.7860	1770.0600	1416840.0	4000047.0	.17741
sockeye	7	4152	0.642487	552.9040	1862.3400	1419150.0	4000218.0	.16030
sockeye	8	4227	0.658789	575.5420	2005.0600	1420910.0	4000329.0	.15602
sockeye	9	3870	0.676923	470.3480	1566.6200	1423370.0	4000650.0	.16363
sockeye	10	4211	0.696875	448.6520	1680.8500	1426210.0	4001262.0	.14529
sockeye	11	3783	0.722967	413.7480	1796.2300	1429270.0	4000974.0	.12800
sockeye	12	3850	0.775229	333.986	1870.330	1041520.000	2908302.000	.09497
